{439}andeguangshaqianwanjian 安得广厦千万间
{54}babailifenhuixiajiu 八百里分麾下灸
{287}badongsanxiawuxiachang 巴东三峡巫峡长
{427}bajiuhuasangma 把酒话桑麻
{611}bashanchushuiqiliangde 巴山楚水凄凉地
{601}bashanyeyuzhangqiuchi 巴山夜雨涨秋池
{125}bayuehushuiping 八月湖水平
{457}bayueqiugaofengnuhao 八月秋高风怒号
{576}baicaofengmao 百草丰茂
{130}baichuandongdaohai 百川东到海
{257}bailuweishuang 白露为霜
{82}bailuweixi 白露未晞
{77}bailuweiyi 白露未已
{486}baitousaogengduan 白头搔更短
{484}baixuegesongwupanguanguijing 白雪歌送武判官归京
{114}baiyunqianzaikongyouyou 白云千载空悠悠
{521}banjuanhongqilinyishui 半卷红旗临易水
{185}banmufangtangyijiankai 半亩方塘一鉴开
{69}banyeliangchutou 半夜凉初透
{519}baojunhuangjintaishangyi 报君黄金台上意
{384}baozizaiqipang 抱子在其旁
{483}beifengjuandibaicaozhe 北风卷地白草折
{388}beizhuoyantianguang 背灼炎天光
{315}bixiankuqixinzhi 必先苦其心志
{328}biyouwoshiyan 必有我师焉
{243}bieshiyifanziweizaixintou 别是一番滋味在心头
{38}binweishuang 鬓微霜
{606}bingshuqiantouwanmuchun 病树前头万木春
{122}bohanyueyangcheng 波憾岳阳城
{350}botaorunu 波涛如怒
{73}bowunongyunchouyongzhou 薄雾浓云愁永昼
{213}budanzaitian 不但在天
{445}buqinduonianlengsitie 布衾多年冷似铁
{290}buqiuwendayuzhuhou 不求闻达于诸侯
{549}buweifuyunzhewangyan 不畏浮云遮望眼
{339}buyilehu 不亦乐乎
{341}buyiyuehu 不亦说乎
{333}buzhiweibuzhi 不知为不知
{542}caijudonglixia 采菊东篱下
{156}cangcangzhulinsi 苍苍竹林寺
{527}caoseyaokanjinquewu 草色遥看近却无
{143}caoshengdoumiaoxi 草盛豆苗稀
{276}cencipifu 参差披拂
{376}cengbushinongsang 曾不事农桑
{309}cengyiqisuobuneng 曾益其所不能
{206}chanfanghuamushen 禅房花木深
{616}changfengpolanghuiyoushi 长风破浪会有时
{24}changfengwanlisongqiuyan 长风万里送秋雁
