{3479}aihaoyoulailuobinan 爱好由来落笔难
{3024}aiminshengzhiduojian 哀民生之多艰
{3259}aishangcenglou 爱上层楼
{1422}aizixinwujin 爱子心无尽
{731}ananshengtianji 黯黯生天际
{2315}anbuwangwei 安不忘危
{3235}andeguangshaqianwanjian 安得广厦千万间
{379}andihuashao 暗滴花梢
{3209}annengcuimeizheyaoshiquangui 安能摧眉折腰事权贵
{2828}anranxiaohunzhe 黯然销魂者
{234}ansiheshiduanrenchang 暗思何事断人肠
{406}ansunshaohua 暗损韶华
{2514}anxiangfudongyuehuanghun 暗香浮动月黄昏
{243}anyihuanqizhensimeng 暗忆欢期真似梦
{2732}bajiansiguxinmangran 拔剑四顾心茫然
{1524}bajiuwenqingtian 把酒问青天
{2391}baqianliluyunheyue 八千里路云和月
{1480}bashanchushuiqiliangde 巴山楚水凄凉地
{1546}bashanyeyuzhangqiuchi 巴山夜雨涨秋池
{832}bashengganzhou 八声甘州
{1195}bazhanchanghenwupingting 把盏常恨无娉婷
{3351}baichuandongdaohai 百川东到海
{3285}baifasanqianzhang 白发三千丈
{1387}baifashuijiawengao 白发谁家翁媪
{1049}baifatashibufangjun 白发他时不放君
{3344}baileshaoniantou 白了少年头
{2031}baimaofulvshui 白毛浮绿水
{2676}bainianduobingdudengtai 百年多病独登台
{2963}bainianshuren 百年树人
{3253}bairifanggexuzongjiu 白日放歌须纵酒
{2022}bairiyishanjin 白日依山尽
{2579}baishoufanghuidushuchi 白首方悔读书迟
{1642}baishuiraodongcheng 白水绕东城
{1632}baitousaogengduan 白头搔更短
{1977}baitudaoyaocheng 白兔捣药成
{2358}baixuqizhong 败絮其中
{1649}baixuege 白雪歌
{1541}baixuequexianchunsewan 白雪却嫌春色晚
{54}baiyanaimingquhuangyexia 白雁哀鸣去黄叶下
{2687}baiyeshiwudi 白也诗无敌
{364}baiyishangpingzhulanli 白衣裳凭朱阑立
{2613}baiyinpanliyiqingluo 白银盘里一青螺
{2707}baiyingzhangguanxinyusui 拜迎长官心欲碎
{1849}baiyutiaozhuluanruchuan 白雨跳珠乱入船
{1503}baiyunqianzaikongyouyou 白云千载空悠悠
{1879}baiyunshenchuyourenjia 白云深处有人家
{1667}baiyunshengchuyourenjia 白云生处有人家
{1334}baiyunyipianquyouyou 白云一片去悠悠
{2974}baizhanbudai 百战不殆
{1177}baizhuanqianshengsuiyiyi 百啭千声随意移
{1562}baizhuanqianshengsuiyiyi 百转千声随意移
{812}baizhuanwurennengjie 百啭无人能解
{29}baiziling 百字令
{3219}bandangshichengchen 板荡识诚臣
{1670}banjiangsesebanjianghong 半江瑟瑟半江红
{1395}banjuanhongqilinyishui 半卷红旗临易水
{1604}banmufangtangyijiankai 半亩方塘一鉴开
{2311}banpihongxiaoyizhangling 半匹红绡一丈绫
{1951}banrujiangfengbanruyun 半入江风半入云
{619}banshengyifengumianguo 半生已分孤眠过
{465}banshifupingsuishishui 半世浮萍随逝水
{1306}banxingbanzuirifuri 半醒半醉日复日
{1482}banyuanxiudaobanyuanjun 半缘修道半缘君
{136}banzhuiyixiwuxunchu 斑骓一系无寻处
{1704}banghuasuiliuguoqianchuan 傍花随柳过前川
{949}bangliuxima 傍柳系马
{3333}baodesanchunhui 报得三春晖
{1393}baojunhuangjintaishangyi 报君黄金台上意
{728}baolianxianguaxiaoyingou 宝帘闲挂小银钩
{149}baoshuangtingyuanqieshengyi 薄霜庭院怯生衣
{237}baoxisiliang 抱膝思量
{3406}baozhiyili 报之以李
{3197}baozhushengzhongyisuichu 爆竹声中一岁除
{609}beidengheyuejiuhuayin 背灯和月就花阴
{1988}beifengchuiyanxuefenfen 北风吹雁雪纷纷
{1648}beifengjuandibaicaozhe 北风卷地白草折
{2728}beifengyuxuehennancai 北风雨雪恨难裁
{81}beigaocheng 背高城
{305}beijiumojingchunshuizhong 被酒莫惊春睡重
{229}beiliyingyingguzuoxiu 背立盈盈故作羞
{1060}beizhongjiubukong 杯中酒不空
{2716}benliudaohaibufuhui 奔流到海不复回
{2883}benshitonggensheng 本是同根生
{2407}bijingdongliuqu 毕竟东流去
{1823}bijingxihuliuyuezhong 毕竟西湖六月中
{2331}biliqianren 壁立千仞
{2685}biluojingfengyu 笔落惊风雨
{210}biluozhihexu 碧落知何许
{2973}biqiruiqi 避其锐气
{1961}bishuidongliuzhicihui 碧水东流至此回
{2152}bixiankuqixinzhi 必先苦其心志
{3077}bixianliqiqi 必先利其器
{3116}bixianzhi 必先之
{1127}biyilianzhidangriyuan 比翼连枝当日愿
{3081}biyoujinyou 必有近忧
{3052}biyouwoshiyan 必有我师焉
{2912}biyouyide 必有一得
{2914}biyouyishi 必有一失
{2026}biyuzhuangchengyishugao 碧玉妆成一树高
{2294}bizibi 必自毙
{3341}biancaixudaiqinianqi 辨材须待七年期
{1991}bianchazhuyushaoyiren 遍插茱萸少一人
{61}bianchengchimu 便成迟暮
{922}bianjiujiamenxiang 遍旧家门巷
{98}bianjueqiuruxu 便觉秋如许
{543}bianrenjiantianshang 便人间天上
{1287}bianshengque 便胜却
{17}bianshinaomanchangfei 便是脑满肠肥
{718}bianshuiliu 汴水流
{2706}biantalishulingrenbei 鞭挞黎庶令人悲
{312}bianwufengxueyecuican 便无风雪也摧残
{1956}bianxiaxiangyangxiangluoyang 便下襄阳向洛阳
