{4853}aibingbisheng 哀兵必胜
{4848}aibushishou 爱不释手
{4847}aicairuming 爱财如命
{4852}aierbushang 哀而不伤
{4851}aihongbianye 哀鸿遍野
{4846}aimonengzhu 爱莫能助
{4845}airuzhenbao 爱如珍宝
{4849}aishouaijiao 碍手碍脚
{4844}aiwujiwu 爱屋及乌
{4843}aizengfenming 爱憎分明
{4850}aizikanxi 矮子看戏
{4842}ananwenwen 安安稳稳
{4841}anbangzhiguo 安邦治国
{4815}anbingbudong 按兵不动
{4840}anbudangche 安步当车
{4814}anbujiuban 按部就班
{4839}anchangshoufen 安常守分
{4809}andanwuguang 暗淡无光
{4808}anduchencang 暗渡陈仓
{4816}andulaoxing 案牍劳形
{4838}anfenshouji 安分守己
{4837}anjialiye 安家立业
{4836}anjialuohu 安家落户
{4807}anjiannanfang 暗箭难防
{4806}anjianshangren 暗箭伤人
{4835}anjuleye 安居乐业
{4834}anlewo 安乐窝
{4833}anliangchubao 安良除暴
{4819}anmalaodun 鞍马劳顿
{4818}anmazhilao 鞍马之劳
{4832}anneirangwai 安内攘外
{4831}anpinledao 安贫乐道
{4817}anqianmahou 鞍前马后
{4830}anranrugu 安然如故
{4812}anranshangshen 黯然伤神
{4811}anranshise 黯然失色
{4829}anranwuyang 安然无恙
{4810}anranxiaohun 黯然销魂
{4828}anshenliming 安身立命
{4805}ansongqiubo 暗送秋波
{4813}antusuoji 按图索骥
{4827}antuzhongqian 安土重迁
{4826}anweixiangyi 安危相易
{4825}anweiyugong 安危与共
{4804}anwutianri 暗无天日
{4824}anxianzizai 安闲自在
{4803}anxiangshuying 暗香疏影
{4823}anyingzhazhai 安营扎寨
{4822}anyuyiyu 安于一隅
{4821}anzhenerwo 安枕而卧
{4820}anzhiruosu 安之若素
{4802}angshoukuobu 昂首阔步
{4801}angshoutingxiong 昂首挺胸
{4800}aoaodaibu 嗷嗷待哺
{4799}aogengshouye 熬更守夜
{4798}aogulinlin 傲骨嶙嶙
{4797}aomanbuxun 傲慢不逊
{4791}aomiaowuqiong 奥妙无穷
{4796}aoniwanwu 傲睨万物
{4795}aoranyili 傲然屹立
{4794}aoshiqingwu 傲世轻物
{4793}aoshuangdouxue 傲霜斗雪
{4792}aoxuelingshuang 傲雪凌霜
{4790}babaizhijiao 八拜之交
{4777}bachubaijia 罢黜百家
{4783}badaoxiangzhu 拔刀相助
{4789}badouzhicai 八斗之才
{4788}bajiubulishi 八九不离十
{4787}bamianlinglong 八面玲珑
{4786}bamianweifeng 八面威风
{4782}bamiaozhuzhang 拔苗助长
{4778}baqianzhihou 跋前踬后
{4781}bashangangding 拔山扛鼎
{4779}bashansheshui 跋山涉水
{4784}bashanyeyu 巴山夜雨
{4776}bawangbieji 霸王别姬
